c0-DAPI-p65ab,c1-SBS-1,c2-SBS-2,c3-SBS-3,c5-SBS-5,c6-SBS-6,c7-SBS-7,c8-SBS-8,c9-SBS-9,c10-SBS-10,Aligned Image Name,Segmentation Nuclei Name,Segmentation Cells Name,Reads File Name
experimentB/10X_c0-DAPI-p65ab/10X_c0-DAPI-p65ab_A1_Tile-10.phenotype.tif,experimentB/10X_c1-SBS-1/10X_c1-SBS-1_A1_Tile-10.sbs.tif,experimentB/10X_c2-SBS-2/10X_c2-SBS-2_A1_Tile-10.sbs.tif,experimentB/10X_c3-SBS-3/10X_c3-SBS-3_A1_Tile-10.sbs.tif,experimentB/10X_c5-SBS-5/10X_c5-SBS-5_A1_Tile-10.sbs.tif,experimentB/10X_c6-SBS-6/10X_c6-SBS-6_A1_Tile-10.sbs.tif,experimentB/10X_c7-SBS-7/10X_c7-SBS-7_A1_Tile-10.sbs.tif,experimentB/10X_c8-SBS-8/10X_c8-SBS-8_A1_Tile-10.sbs.tif,experimentB/10X_c9-SBS-9/10X_c9-SBS-9_A1_Tile-10.sbs.tif,experimentB/10X_c10-SBS-10/10X_c10-SBS-10_A1_Tile-10.sbs.tif,experimentB/process/10X_A1_Tile-10.aligned.tif,experimentB/analysed/10X_A1_Tile-10.nuclei.tif,experimentB/analysed/10X_A1_Tile-10.cells.tif,experimentB/analysed/10X_A1_Tile-10.reads.csv
experimentB/10X_c0-DAPI-p65ab/10X_c0-DAPI-p65ab_A1_Tile-102.phenotype.tif,experimentB/10X_c1-SBS-1/10X_c1-SBS-1_A1_Tile-102.sbs.tif,experimentB/10X_c2-SBS-2/10X_c2-SBS-2_A1_Tile-102.sbs.tif,experimentB/10X_c3-SBS-3/10X_c3-SBS-3_A1_Tile-102.sbs.tif,experimentB/10X_c5-SBS-5/10X_c5-SBS-5_A1_Tile-102.sbs.tif,experimentB/10X_c6-SBS-6/10X_c6-SBS-6_A1_Tile-102.sbs.tif,experimentB/10X_c7-SBS-7/10X_c7-SBS-7_A1_Tile-102.sbs.tif,experimentB/10X_c8-SBS-8/10X_c8-SBS-8_A1_Tile-102.sbs.tif,experimentB/10X_c9-SBS-9/10X_c9-SBS-9_A1_Tile-102.sbs.tif,experimentB/10X_c10-SBS-10/10X_c10-SBS-10_A1_Tile-102.sbs.tif,experimentB/process/10X_A1_Tile-102.aligned.tif,experimentB/analysed/10X_A1_Tile-102.nuclei.tif,experimentB/analysed/10X_A1_Tile-102.cells.tif,experimentB/analysed/10X_A1_Tile-102.reads.csv
experimentB/10X_c0-DAPI-p65ab/10X_c0-DAPI-p65ab_A1_Tile-103.phenotype.tif,experimentB/10X_c1-SBS-1/10X_c1-SBS-1_A1_Tile-103.sbs.tif,experimentB/10X_c2-SBS-2/10X_c2-SBS-2_A1_Tile-103.sbs.tif,experimentB/10X_c3-SBS-3/10X_c3-SBS-3_A1_Tile-103.sbs.tif,experimentB/10X_c5-SBS-5/10X_c5-SBS-5_A1_Tile-103.sbs.tif,experimentB/10X_c6-SBS-6/10X_c6-SBS-6_A1_Tile-103.sbs.tif,experimentB/10X_c7-SBS-7/10X_c7-SBS-7_A1_Tile-103.sbs.tif,experimentB/10X_c8-SBS-8/10X_c8-SBS-8_A1_Tile-103.sbs.tif,experimentB/10X_c9-SBS-9/10X_c9-SBS-9_A1_Tile-103.sbs.tif,experimentB/10X_c10-SBS-10/10X_c10-SBS-10_A1_Tile-103.sbs.tif,experimentB/process/10X_A1_Tile-103.aligned.tif,experimentB/analysed/10X_A1_Tile-103.nuclei.tif,experimentB/analysed/10X_A1_Tile-103.cells.tif,experimentB/analysed/10X_A1_Tile-103.reads.csv
experimentB/10X_c0-DAPI-p65ab/10X_c0-DAPI-p65ab_A1_Tile-104.phenotype.tif,experimentB/10X_c1-SBS-1/10X_c1-SBS-1_A1_Tile-104.sbs.tif,experimentB/10X_c2-SBS-2/10X_c2-SBS-2_A1_Tile-104.sbs.tif,experimentB/10X_c3-SBS-3/10X_c3-SBS-3_A1_Tile-104.sbs.tif,experimentB/10X_c5-SBS-5/10X_c5-SBS-5_A1_Tile-104.sbs.tif,experimentB/10X_c6-SBS-6/10X_c6-SBS-6_A1_Tile-104.sbs.tif,experimentB/10X_c7-SBS-7/10X_c7-SBS-7_A1_Tile-104.sbs.tif,experimentB/10X_c8-SBS-8/10X_c8-SBS-8_A1_Tile-104.sbs.tif,experimentB/10X_c9-SBS-9/10X_c9-SBS-9_A1_Tile-104.sbs.tif,experimentB/10X_c10-SBS-10/10X_c10-SBS-10_A1_Tile-104.sbs.tif,experimentB/process/10X_A1_Tile-104.aligned.tif,experimentB/analysed/10X_A1_Tile-104.nuclei.tif,experimentB/analysed/10X_A1_Tile-104.cells.tif,experimentB/analysed/10X_A1_Tile-104.reads.csv
experimentB/10X_c0-DAPI-p65ab/10X_c0-DAPI-p65ab_A1_Tile-105.phenotype.tif,experimentB/10X_c1-SBS-1/10X_c1-SBS-1_A1_Tile-105.sbs.tif,experimentB/10X_c2-SBS-2/10X_c2-SBS-2_A1_Tile-105.sbs.tif,experimentB/10X_c3-SBS-3/10X_c3-SBS-3_A1_Tile-105.sbs.tif,experimentB/10X_c5-SBS-5/10X_c5-SBS-5_A1_Tile-105.sbs.tif,experimentB/10X_c6-SBS-6/10X_c6-SBS-6_A1_Tile-105.sbs.tif,experimentB/10X_c7-SBS-7/10X_c7-SBS-7_A1_Tile-105.sbs.tif,experimentB/10X_c8-SBS-8/10X_c8-SBS-8_A1_Tile-105.sbs.tif,experimentB/10X_c9-SBS-9/10X_c9-SBS-9_A1_Tile-105.sbs.tif,experimentB/10X_c10-SBS-10/10X_c10-SBS-10_A1_Tile-105.sbs.tif,experimentB/process/10X_A1_Tile-105.aligned.tif,experimentB/analysed/10X_A1_Tile-105.nuclei.tif,experimentB/analysed/10X_A1_Tile-105.cells.tif,experimentB/analysed/10X_A1_Tile-105.reads.csv
experimentB/10X_c0-DAPI-p65ab/10X_c0-DAPI-p65ab_A1_Tile-106.phenotype.tif,experimentB/10X_c1-SBS-1/10X_c1-SBS-1_A1_Tile-106.sbs.tif,experimentB/10X_c2-SBS-2/10X_c2-SBS-2_A1_Tile-106.sbs.tif,experimentB/10X_c3-SBS-3/10X_c3-SBS-3_A1_Tile-106.sbs.tif,experimentB/10X_c5-SBS-5/10X_c5-SBS-5_A1_Tile-106.sbs.tif,experimentB/10X_c6-SBS-6/10X_c6-SBS-6_A1_Tile-106.sbs.tif,experimentB/10X_c7-SBS-7/10X_c7-SBS-7_A1_Tile-106.sbs.tif,experimentB/10X_c8-SBS-8/10X_c8-SBS-8_A1_Tile-106.sbs.tif,experimentB/10X_c9-SBS-9/10X_c9-SBS-9_A1_Tile-106.sbs.tif,experimentB/10X_c10-SBS-10/10X_c10-SBS-10_A1_Tile-106.sbs.tif,experimentB/process/10X_A1_Tile-106.aligned.tif,experimentB/analysed/10X_A1_Tile-106.nuclei.tif,experimentB/analysed/10X_A1_Tile-106.cells.tif,experimentB/analysed/10X_A1_Tile-106.reads.csv
experimentB/10X_c0-DAPI-p65ab/10X_c0-DAPI-p65ab_A1_Tile-107.phenotype.tif,experimentB/10X_c1-SBS-1/10X_c1-SBS-1_A1_Tile-107.sbs.tif,experimentB/10X_c2-SBS-2/10X_c2-SBS-2_A1_Tile-107.sbs.tif,experimentB/10X_c3-SBS-3/10X_c3-SBS-3_A1_Tile-107.sbs.tif,experimentB/10X_c5-SBS-5/10X_c5-SBS-5_A1_Tile-107.sbs.tif,experimentB/10X_c6-SBS-6/10X_c6-SBS-6_A1_Tile-107.sbs.tif,experimentB/10X_c7-SBS-7/10X_c7-SBS-7_A1_Tile-107.sbs.tif,experimentB/10X_c8-SBS-8/10X_c8-SBS-8_A1_Tile-107.sbs.tif,experimentB/10X_c9-SBS-9/10X_c9-SBS-9_A1_Tile-107.sbs.tif,experimentB/10X_c10-SBS-10/10X_c10-SBS-10_A1_Tile-107.sbs.tif,experimentB/process/10X_A1_Tile-107.aligned.tif,experimentB/analysed/10X_A1_Tile-107.nuclei.tif,experimentB/analysed/10X_A1_Tile-107.cells.tif,experimentB/analysed/10X_A1_Tile-107.reads.csv
experimentB/10X_c0-DAPI-p65ab/10X_c0-DAPI-p65ab_A1_Tile-108.phenotype.tif,experimentB/10X_c1-SBS-1/10X_c1-SBS-1_A1_Tile-108.sbs.tif,experimentB/10X_c2-SBS-2/10X_c2-SBS-2_A1_Tile-108.sbs.tif,experimentB/10X_c3-SBS-3/10X_c3-SBS-3_A1_Tile-108.sbs.tif,experimentB/10X_c5-SBS-5/10X_c5-SBS-5_A1_Tile-108.sbs.tif,experimentB/10X_c6-SBS-6/10X_c6-SBS-6_A1_Tile-108.sbs.tif,experimentB/10X_c7-SBS-7/10X_c7-SBS-7_A1_Tile-108.sbs.tif,experimentB/10X_c8-SBS-8/10X_c8-SBS-8_A1_Tile-108.sbs.tif,experimentB/10X_c9-SBS-9/10X_c9-SBS-9_A1_Tile-108.sbs.tif,experimentB/10X_c10-SBS-10/10X_c10-SBS-10_A1_Tile-108.sbs.tif,experimentB/process/10X_A1_Tile-108.aligned.tif,experimentB/analysed/10X_A1_Tile-108.nuclei.tif,experimentB/analysed/10X_A1_Tile-108.cells.tif,experimentB/analysed/10X_A1_Tile-108.reads.csv
experimentB/10X_c0-DAPI-p65ab/10X_c0-DAPI-p65ab_A1_Tile-109.phenotype.tif,experimentB/10X_c1-SBS-1/10X_c1-SBS-1_A1_Tile-109.sbs.tif,experimentB/10X_c2-SBS-2/10X_c2-SBS-2_A1_Tile-109.sbs.tif,experimentB/10X_c3-SBS-3/10X_c3-SBS-3_A1_Tile-109.sbs.tif,experimentB/10X_c5-SBS-5/10X_c5-SBS-5_A1_Tile-109.sbs.tif,experimentB/10X_c6-SBS-6/10X_c6-SBS-6_A1_Tile-109.sbs.tif,experimentB/10X_c7-SBS-7/10X_c7-SBS-7_A1_Tile-109.sbs.tif,experimentB/10X_c8-SBS-8/10X_c8-SBS-8_A1_Tile-109.sbs.tif,experimentB/10X_c9-SBS-9/10X_c9-SBS-9_A1_Tile-109.sbs.tif,experimentB/10X_c10-SBS-10/10X_c10-SBS-10_A1_Tile-109.sbs.tif,experimentB/process/10X_A1_Tile-109.aligned.tif,experimentB/analysed/10X_A1_Tile-109.nuclei.tif,experimentB/analysed/10X_A1_Tile-109.cells.tif,experimentB/analysed/10X_A1_Tile-109.reads.csv
experimentB/10X_c0-DAPI-p65ab/10X_c0-DAPI-p65ab_A1_Tile-11.phenotype.tif,experimentB/10X_c1-SBS-1/10X_c1-SBS-1_A1_Tile-11.sbs.tif,experimentB/10X_c2-SBS-2/10X_c2-SBS-2_A1_Tile-11.sbs.tif,experimentB/10X_c3-SBS-3/10X_c3-SBS-3_A1_Tile-11.sbs.tif,experimentB/10X_c5-SBS-5/10X_c5-SBS-5_A1_Tile-11.sbs.tif,experimentB/10X_c6-SBS-6/10X_c6-SBS-6_A1_Tile-11.sbs.tif,experimentB/10X_c7-SBS-7/10X_c7-SBS-7_A1_Tile-11.sbs.tif,experimentB/10X_c8-SBS-8/10X_c8-SBS-8_A1_Tile-11.sbs.tif,experimentB/10X_c9-SBS-9/10X_c9-SBS-9_A1_Tile-11.sbs.tif,experimentB/10X_c10-SBS-10/10X_c10-SBS-10_A1_Tile-11.sbs.tif,experimentB/process/10X_A1_Tile-11.aligned.tif,experimentB/analysed/10X_A1_Tile-11.nuclei.tif,experimentB/analysed/10X_A1_Tile-11.cells.tif,experimentB/analysed/10X_A1_Tile-11.reads.csv
